romaji,kanji,meaning
nikki,日記,diary
bunpou,文法,grammar
ito,糸,thread yarn string
jinja,神社,shrine
shougakkou,小学校,elementary school
chuushajou,駐車場,parking lot garage
tenrankai,展覧会,exhibition
seiyou,西洋,the west western countries
saka,坂,slope incline hill
chuusha,注射,injection jab shot
norimono,乗り物,vehicle transport ride
ryokan,旅館,ryokan traditional inn
hayashi,林,wood woods forest grove thicket
futon,布団,futon
kaigishitsu,会議室,conference meeting room
juudou,柔道,judo
chuugakkou,中学校,middle school
kenkyuushitsu,研究室,laboratory lab
hanami,花見,watch flower blooming
koumuin,公務員,government worker
koutougakkou,高等学校,high school
jiten,辞典,dictionary lexicon
kokoro,心,heart mind spirit
chikara,力,power force strength
kenka,喧嘩,fight quarrel
tenkiyohou,天気予報,weather forecast
hige,髭,beard facial hair
oshiire,押し入れ,closet
miso,味噌,miso
kare,彼,he him boyfriend
kyaku,客,guest visitor
sofu,祖父,grandfather grandpa old man
koukou,高校,high school
kinjo,近所,neighborhood
bangumi,番組,broadcast program
kenbutsu,見物,sightseeing watching viewing sight see
amerika,アメリカ,america usa
kanojo,彼女,girlfriend
omou,思う,to think consider
boku,僕,i me
hitsuyou,必要,need needed necessary essential
mieru,見える,to be seen in sight
kangaeru,考える,to consider think about
tameni,ため,good advantage benefit sake purporse
hajimeru,始める,to begin to start
ukeru,受ける,to receive
utsukushii,美しい,beautiful pretty lovely
shiken,試験,test exam
shinsetsu,親切,kind nice gentle
shippai,失敗,failure mistake blunder
ijou,以上,more than not less than
iken,意見,opinion view comment
kesshite,決して,in no way not ever
juubun,十分,enough sufficient plenty
shiai,試合,game match
isshoukenmei,一生懸命,very hard with effort
ko,子,child
sagasu,探す,to look for search hunt
isogu,急ぐ,to hurry rush hasten
erabu,選ぶ,to choose select
okuru,送る,to send
kanarazu,必ず,have to
okoru,怒る,to get angry mad
saikin,最近,recently lately these days
harau,払う,to pay
au,合う,to come together to meet
ten,点,points dot spot mark
kimeru,決める,to decide choose determine
warau,笑う,to laugh smile
saisho,最初,at first beginning
hantai,反対,disagree
tsuma,妻,wife
musume,娘,daughter
yorokobu,喜ぶ,to be delighted glad pleased
riyuu,理由,reason motive
mukashi,昔,old time olden days
yakusoku,約束,promise agreement arragnement
omoidasu,思い出す,to recall to remember
tadashii,正しい,correct right
ochiru,落ちる,to fall down drop sink
basho,場所,place location
tanoshimu,楽しむ,to enjoy
riyou,利用,use application
maniau,間に合う,be in time
kondo,今度,near future shortly this time
yotei,予定,plan arrangement schedule
tazuneru,訪ねる,to visit call on
susumu,進む,to advance to go forward
akanbou,赤ん坊,baby infant
saigo,最後,final end conclusion last
mukau,向かう,to face to go towards head towards
kyoumi,興味,interest curiosity
tooru,通る,to go by past to run between
jidai,時代,time period generation
tochuu,途中,on the way en route
kimochi,気持ち,feeling sensation mood
henji,返事,reply answer response
kantan,簡単,easy simple
fukai,深い,deep profound
okosu,起こす,to raise wake
otto,夫,husband
ichido,一度,once one time on one occasion
baai,場合,case siutation
hakobu,運ぶ,to deliver carry transport
konya,今夜,this evening tonight
nusumu,盗む,to steal
shuukan,習慣,custom habit practice
taitei,たいてい,mostly usually generally probably
nokoru,残る,to remain be left
agaru,上がる,to rise go up
seki,席,seat
nedan,値段,price cost
shourai,将来,future
yasashii,優しい,kind easy plan simple
itasu,いたす,honorably do
nigeru,逃げる,to escape to run away
kuuki,空気,air
yakunitatsu,役に立つ,to be helpful useful
utae,答え,answer reply response
yoyaku,予約,reservation appointment booking
kikai,機会,chance opportunity
genin,原因,cause origin source
kaji,火事,fire
dorobou,泥棒,thief burglar robber
kami,髪,hair
kisoku,規則,rule regulation
okonau,行う,to perform to do
kawari,代わり,instead of substitute replacement
mitsukaru,見つかる,to be found discovered
utsu,打つ,to hit strike
kibishii,厳しい,strict severe rigid
fueru,増える,to increase
mukaeru,迎える,to go out to meet to receive accept
kowai,怖い,scary frightening
shachou,社長,president manager director
shoukai,紹介,introduction
atsumeru,集める,to gather collect assemble
hoshi,星,star planet
jimusho,事務所,office
tokuni,特に,in particular particularly especially
atsumaru,集まる,to gather collect assemble
kuraberu,比べる,to compare
muri,無理,impossible unreasonable
youi,用意,preparation arrangements getting ready laying out
otosu,落とす,to drop let fall
kowareru,壊れる,to be broken to break
guai,具合,condition state health
taoreru,倒れる,to fall collapse lose be defeated die
aji,味,flavor taste
anzen,安全,safety security
hen,変,strange weird odd
renraku,連絡,contact contacting communication
sobo,祖母,grandmother grandma
daiji,大事,important serious crucial
sagaru,下がる,to come down to fall drop hang
kimaru,決まる,to be decided settled fixed
kisha,汽車,long distance train steam train
tanoshimi,楽しみ,enjoyment pleasure looking forward to
tashika,確か,sure certain positive definite reliable
sumi,隅,corner nook
okashii,可笑しい,funny amusing comical strange weird
kyousou,競争,competition contest race
nyuuin,入院,hospitalization hospitalized
katachi,形,shape form figure
shikata,仕方,way method means
keshiki,景色,scenery scene landscape
rusu,留守,away from home absence
kubi,首,neck
kimi,君,you
inai,以内,within inside of less than
chi,血,blood
tatoeba,例えば,for example
wakareru,別れる,to part from to separate break up
tana,棚,shelf ledge rack
moushiageru,申し上げる,to say tell do humbly
hikkosu,引っ越す,to move
fukuzatsu,複雑,complicated complex intricate
shinamono,品物,goods article thing
gijutsu,技術,technology skill
gozonji,ご存じ,knowing
kusa,草,grass weed herb
ika,以下,at most not exceeding
ryouhou,両方,both
bai,倍,times a quantity
anshin,安心,relief peace of mind
minato,港,harbor port
daitai,だいたい,main points gist generally mostly
sen,線,line stripe
sageru,下げる,to hang suspend wear
mushi,虫,insect bug
kotori,小鳥,small little bird
koukousei,高校生,high school student
norikaeru,乗り換える,to transfer trains change bus
eda,枝,branch bough limb twig stick
tera,寺,temple
kaeri,帰り,return coming back
owari,終わり,the end
kimono,着物,kimono
kayou,通う,to go regularly frequent
tenin,店員,employee shope assistant clerk
sawagu,騒ぐ,to make noise
yawarakai,柔らかい,soft tender pliant
fumu,踏む,to step on
teinei,丁寧,polite courteous civil
ura,裏,opposite side bottom behind
hieru,冷える,to grow cold to get chilly cool down
mannaka,真ん中,middle center midpoint heart
omote,表(surface),surface face front
kazaru,飾る,to decorate
enryo,遠慮,reserve hesitation refraining holding back
tsugou,都合,circumstances condition conveinence
kureru,暮れる,to get grow dark to end
buchou,部長,head of section or department manager
hiruma,昼間,daytime during the day
kyuu,急,sudden abrupt unexpected
hikidashi,引き出し,drawer withdrawal
kaijou,会場,event site venue meeting place
odori,踊り,dance
kyuukou,急行,hurrying rushing hastening
mataha,または,or either
chiri,地理,geography
dentou,電灯,electric light
komakai,細かい,small fine minute minor trivial
tekitou,適当,suitable proper appropriate
kachou,課長,section manager
sakan,盛ん,prosperous flourishing thriving succesful popular
hikidasu,引き出す,to pull out withdraw money
wariai,割合,proportion rate
danbou,暖房,indoor heating
mousu,申す,honorably say
uriba,売り場,sales selling area counter section department
taiin,退院,leaving hospital discharge
fuben,不便,inconvenience
geshuku,下宿,boarding lodging
uketsuke,受付,reception information desk
shinbunsha,新聞社,newspaper company
shokuryouhin,食料品,groceries foodstuff
nigai,苦い,bitter
koudou,講堂,auditorium lecture hall
yu,湯,hot water
utsusu,写す,to transcribe duplicate reproduce imitate
okujou,屋上,roof rooftop
kougyou,工業,industry manufacturing
shitagi,下着,underwear
reibou,冷房,air conditioning
tatami,畳,tatami mat
wakasu,沸かす,to boil heat
ojousan,お嬢さん,daughter young lady
ukeru,漬ける,to soak steep dip dunk
tokkyuu,特急,limited express train
kureru,くれる,to give let one have
sugiru,過ぎる,to pass by to exceed surpass
tsumori,つもり,intention plan purpose
yameru tomeru,止める,to stop to turn off prevent
hidoi,酷い,cruel heartless severe disgusting ugly
okureru,遅れる,to be late delayed fall behind schedule
tsuzukeru,続ける,to continue keep on
tetsudau,手伝う,to help assist aid
mitsukeru,見つける,to discover find detect locate
odoroku,驚く,to be surprised astonished
nemuru,眠る,to sleep die close ones eyes
katsu,勝つ,to win gain victory
kikoeru,聞こえる,to be audible heard
tazuneru,尋ねる,to ask inquire investigate
nareru,慣れる,to be used to accustomed familiar with
naku,泣く,to cry weep sob
kitto,きっと,surely almost certainly
niru,似る,to resemble to look like
modoru,戻る,to go back return
shiraberu,調べる,to look into examine
tsutaeru,伝える,to convey report
hazu,筈,should be bound to be must be
nakunaru,なくなる,to be lost missing disappear
ugoku,動く,to move stir shift
shiraseru,知らせる,to notify advise inform
tsuzuku,続く,to continue go on
betsu,別,distinction difference separate exception
naru,鳴る,to sound ring rumble echo
shi,市,town city
makeru,負ける,to lose be defeated
kanashii,悲しい,sad miserable unhappy
nakunaru,亡くなる,to die
igai,以外,other than excluding with the exception of
naosu,治す,to cure heal fix
shibaraku,暫く,for a moment for a minute
masagaeru,間違える,to make a mistake to commit an error
mawaru,回る,to turn revolve
suteru,捨てる,to throw away
shikkari,しっかり,tightly holding on firmly
sodateru,育てる,to raise rear
homeru,褒める,to praise commend compliment
ishi,石,stone
hazukashii,恥ずかしい,embarassing shy
nuru,塗る,spread paint smear
tomaru,泊まる,to stay over at
katazukeru,片付ける,to clean tidy up
yamu,止む,to cease stop
tooku,遠く,far away distant place
sumu,済む,be completed finish end
toutou,とうとう,finally at last ultimately in the end
tsukamaeru,捕まえる,to catch capture arrest seize
odoru,踊る,to dance
tariru,足りる,to have enough be sufficient
naoru,治る,to get better to recover
katai,硬い,hard solid tough
tateru,建てる,to build construct
sugoi,すごい,terrible dreadful amazing great wonderful
ayamaru,謝る,to apologize
korekara,これから,from now on in the future from this point
tateru,立てる,to stand up erect make
sabishii samishii,寂しい,lonely
nureru,濡れる,to get wet
nageru,投げる,to throw pitch
futoru,太る,to gain weight
yoru,寄る,to approach draw near drop by
haisha,歯医者,dentist
mairu,まいる,honorably go
meshiagaru,召し上がる,honorably eat
mezurashii,珍しい,unusual rare curious
yureru,揺れる,to shake sway waver
inoru,祈る,to pray wish
gurasu,ガラス,glass pane
komu,込む,to be crowded packed congested
oru,折る,to break fracture
nemui,眠い,sleepy drowsy
daigakusei,大学生,college student
orei,お礼,thanks gratitude
yaseru,痩せる,to become thin lose weight
tamani,たまに,occasionally once in a while now and then
kamu,噛む,to bite chew
gasu,ガス,gas gasoline petrol
sawaru,触る,to touch
oku,億,one hundred million
suri,スリ,pickpocket
hirou,拾う,to pick up gather
yaku,焼く,to grill burn roast
suberu,滑る,to glid slide slip fall
naruhodo,なるほど,i see thats right indeed
wareru,割れる,to break to be smashed
chottomo,ちっとも,not at all not a bit
otaku,お宅,house home my place
oreru,折れる,to break be broken snap fracture
utsuru,移る,to move house to transfer department
ueru,植える,to plant grow raise
hikaru,光る,to shine glitter be bright
sashiageru,差し上げる,honorably give
ji,字,character
yakeru,焼ける,to burn be roasted be sunburnt
oiwai,お祝い,gift celebration congratulations
torikaeru,取り替える,to exchange swap barter
kawaku,乾く,to get dry
tsuru,釣る,to fish catch lure tempt
youji,用事,task tasks things to do errands
narubeku,なるべく,as much as possible
asai,浅い,shallow superficial
ijimeru,いじめる,to bully torment pick on
todokeru,届ける,to deliver
tokoya,床屋,barbershop barber shop
omiyage,お土産,souvenir
haiken,拝見,seeing looking at
yoshuu,予習,lesson preparation
otsuri,お釣り,change for a purchase
tasu,足す,to add
asanebou,朝寝坊,oversleeping sleeping in late
wasuremono,忘れ物,lost item something forgotten
waku,沸く,to grow hot to boil
fukushuu,復習,review revision
saraigetsu,再来月,month after next
goshujin,ご主人,husband
saraishuu,再来週,week after next
tsuku,付く,to be attached to be connected with
kaeru,変える,to change alter
afurika,アフリカ,africa
kangoshi,看護師,nurse
furidasu,降り出す,to begin to rain snow
kedo,けど,but however although
hi,日(hi),day days sun
daibu,だいぶ,considerably greatly a lot
aida,間(aida),between gap distance duration
oya,親,parent parents
netsu,熱,heat fever
untenshu,運転手,driver chauffeur
momen,木綿,cotton
keshigomu,消しゴム,eraser rubber
tenisu,テニス,tennis
piano,ピアノ,piano
konpyu-ta,コンピュータ,computer
mawari,周り,around area vicinity
ke-ki,ケーキ,cake
biru,ビル,building bill
ka-ten,カーテン,curtain curtains
gasorin,ガソリン,gasoline petrol
aruko-ru,アルコール,alcohol
sandoicchi,サンドイッチ,sandwich
o-tobai,オートバイ,motorcycle motorbike
sarada,サラダ,salad
sofuto,ソフト,soft software
tekisuto,テキスト,text textbook
sutando,スタンド,stand station
jamu,ジャム,jam
sutereo,ステレオ,stereo
anaunsa-,アナウンサー,annoucer presenter
pa-to,パート,part part-time work
akusesari-,アクセサリー,accessory jewelry
esukare-ta-,エスカレーター,escalator
su-tsuke-su,スーツケース,suitcase
sute-ki,ステーキ,steak
ajia,アジア,asia
chekku,チェック,check bill
sandaru,サンダル,sandal
sukuri-n,スクリーン,screen
aku,開く,to open
ippai,いっぱい,full fully to capacity a lot
you,用,business task use purpose
reji,レジ,register
uchi,内,inside within among
wake,訳,conclusion judgement reason cause
okage,お陰,grace benevolence
kun,君(kun),boy junior
tsutsumu,包む,to wrap pack
kokusai,国際,international
ke,毛,hair fur
to,都,prefecture counter for cities and towns
kanai,家内,my wife
omimai,お見舞い,calling on someone who is ill
sou,そう,appearing seeming that looking like
sonna,そんな,such that sort of that kind of
moshi,もし,if in case supposing
hijouni,非常に,very extremely
dakara,だから,so therefore accordingly
hakkiri,はっきり,clearly plainly distinctly
sukkari,すっかり,all completely totally entirely
konsa-to,コンサート,concert
yatto,やっと,at last finally barely
anna,あんな,that sort of that kind of
puresento,プレゼント,present gift
taipu,タイプ,type kind sort
repo-to,レポート,report paper
sorosoro,そろそろ,slowly quietly steadily gradually
kome,米,rice
beru,ベル,bell
irassharu,いらっしゃる,to come go be honorific
sorede,それで,and thereupon because of that
dondon,どんどん,drumming noise rapidly quickly continuously
su-tsu,スーツ,suit
wa-puro,ワープロ,word processor
chan,ちゃん,suffix for familiar person
yogoreru,汚れる,to get dirty
pasokon,パソコン,personal computer pc
konogoro,この頃,these days nowadays at present lately
pasokon,パソコン,personal computer pc
handobaggu,ハンドバッグ,handbag purse
arubaito,アルバイト,part time job
suruto,すると,thereupon hereupon
konoaida,この間,the other day lately recently
sakki,さっき,a short while ago just now
soreni,それに,besides in addition moreover also
sutto,すっと,straight quickly directly all of a sudden
sonnani,そんなに,so much so like that
ossharu,おっしゃる,to say speak honorific
un,うん,yes yeah uh huh
aa,ああ,ah like that so
goranninaru,ご覧になる,honorably see
kawaru,変わる,to change be transformed
hisashiburi,久しぶり,long time first in a while
nikaidate,二階建て,two story building
hiruyasumi,昼休み,lunch break noon rest
omatsuri,お祭り,festival
tsuma,端,edge tip end
