romaji,kanji,meaning
sute-ki,ステーキ,steak
ajia,アジア,asia
chekku,チェック,check
sandaru,サンダル,sandal
sukuri-n,スクリーン,screen
ippai,いっぱい,full a lot
reji,レジ,register
wake,訳,reason
mousugu,もうすぐ,soon
kun,君(kun),boy junior
kokusai,国際,international
omimai,お見舞い,visiting someone who is ill
sou,そう,seems looking like
sonna,そんな,such
moshi,もし,if
dakara,だから,therefore
hakkiri,はっきり,clearly
sukkari,すっかり,completely totally
konsa-to,コンサート,concert
yatto,やっと,finally
anna,あんな,that
purezento,プレゼント,present gift
taipu,タイプ,type
repo-to,レポート,report paper
sorosoro,そろそろ,soon before long
beru,ベル,bell
irassharu,いらっしゃる,to come honorific
sorede,それで,and
dondon,どんどん,drumming sound rapidly quickly
su-tsu,スーツ,suit
chan,ちゃん,suffix for familiar person
yogoreru,汚れる,to get dirty
pasokon,パソコン,personal computer pc
handobaggu,ハンドバッグ,handbag purse
arubaito,アルバイト,part time job
suruto,すると,then
sakki,さっき,a short while ago just now
soreni,それに,in addition also
sutto,すっと,straight quickly
sonnani,そんなに,not that much
ossharu,おっしゃる,to say honorific
un,うん,yes yeah un
aa,ああ,ah ahh
kawaru,変わる,to change
nikaidate,二階建て,two story building
kou,こう,in this way
oideninaru,おいでになる,to come honorific
hashi,端,edge end
eigo,英語,english language
toshi,年(toshi),year age years
ageru,上げる,to raise
namae,名前,name
daigaku,大学,university college
natsuyasumi,夏休み,summer vacation holiday
naru,なる,to become
yori,より,than more
ichiban,一番,number one first place best
hyaku,ひゃく,one hundred 100
aru,ある,to be exist
sono,その,that
dekiru,できる,to be able to do
yoi,良い,good excellent
kudasai,ください,please
kono,この,this
deru,出る,to leave go out
anata,あなた,you
ooki,大き,big large
gakusei,学生,student
dono,どの,which
mata,また,again
onnanoko,女の子,girl
utau,歌う,to sing
otousan,お父さん,father dad
okaasan,お母さん,mother mom
otokonoko,男の子,boy
tobu,飛ぶ,to fly
shiroi,白い,white
ni,二,two
akai,赤い,red
bangou,番号,number
rainen,来年,next year
juu,十,ten
sengetsu,先月,last month
maitoshi,毎年,every year yearly
raigetsu,来月,next month
go,五,five
yowai,弱い,weak
san,三,three
kuroi,黒い,black
maishuu,毎週,every week
kongetsu,今月,this month
hachi,八,eight 8
roku,六,six 6
futoi,太い,fat thick
ryuugakusei,留学生,exchange student
sore,それ,that
mono,物,thing object
totemo,とても,very
saki,先,point tip
itsumo,いつも,always all the time
doko,どこ,where
kaeru,帰る,go home
kakaru,かかる,to take time or money
donata,どなた,who politely
chotto,ちょっと,a little bit
naze,何故,why
miseru,見せる,to show
doushite,どうして,why
kochira,こちら,this way
hareru,晴れる,to clear up be sunny
aoi,青い,blue
pe-ji,ページ,page
fuku,吹く,to blow
hiku,引く,to pull
asoko,あそこ,over there
narabu,並ぶ,to line up
ichi,一,one 1
sochira,そちら,that way
kumoru,曇る,to get cloudy
kiiroi,黄色い,yellow
yuuhan,夕飯,dinner
hagaki,はがき,postcard
shatsu,シャツ,formal shirt
asagohan,朝ご飯,breakfast
omawarisan,おまわりさん,police officer
kirome-toru,キロメートル,kilometer km
sarainen,再来年,year after next
yoku,よく,often frequently
soko,そこ,there
chiisana,小さな,small little
mouichido,もう一度,one more time again
bangohan,晩ご飯,dinner
hirugohan,昼ご飯,lunch
demo,でも,but however
nado,など,etc and so forth
kurasu,クラス,class
pu-ru,プール,pool
terebi,テレビ,tv television
ko-hi-,コーヒー,coffee
hoteru,ホテル,hotel
nyu-su,ニュース,news
te-buru,テーブル,tabel
kamera,カメラ,camera
takushi-,タクシー,taxi
supo-tsu,スポーツ,sports sport
rajio,ラジオ,radio
pen,ペン,pen
resutoran,レストラン,restaurant
tesuto,テスト,test
beddo,ベッド,bed
pan,パン,bread pan
naifu,ナイフ,knife
nekutai,ネクタイ,tie necktie
gita-,ギター,guitar
se-ta-,セーター,sweater
me-toru,メートル,meter
apa-to,アパート,apartment building
poketto,ポケット,pocket
bata-,バター,butter
kiro,キロ,kilo
suka-to,スカート,skirt
reko-do,レコード,record
erebe-ta-,エレベーター,elevator lift
zubon,ズボン,trousers pants
posuto,ポスト,postbox mailbox mail box
kopi-,コピー,copy
shawa-,シャワー,shower
hankachi,ハンカチ,handkerchief
te-pu,テープ,tape
suto-bu,ストーブ,stove heater
kappu,カップ,cup
te-pureko-da-,テープレコーダー,tape recorder
bo-rupen,ボールペン,ball point pen
supu-n,スプーン,spoon
surippa,スリッパ,slipper slippers
hai,はい,yes
petto,ペット,pet
suru,する,to do
are,あれ,that
basu,バス,bus
tsuitachi,一日(tsuitachi),first day of the month
mikka,三日,third day of the month three days
itsuka,五日,fifth day of the month five days
futsuka,二日,second day of the month two days
tooka,十日,tenth day of the month ten days
muika,六日,sixth day of the month six days
youka,八日,eigth day of the month eight days
kokonoka,九日,ninth day of the month nine days
hitori,一人,one person being alone
soba,そば,beside
iie,いいえ,no
maitsuki,毎月,every month
shichi nana,七,seven 7
yon,四,four 4
kore,これ,this
koko,ここ,here
mou,もう,now already
dou,どう,how
mada,まだ,not yet
motto,もっと,more
itsu,いつ,when
pa-ti-,パーティー,party
hoka,他(hoka),other
doa,ドア,door
dochira,どちら,which way where
dareka,誰か,someone somebody
douzo,どうぞ,please
konna,こんな,this such
soshite,そして,and then
yukkuri,ゆっくり,slowly
ko-to,コート,coat
saa,さあ,uh hmm
doumo,どうも,thank you greetings
jaa,じゃあ,then
koppu,コップ,glass cup
sorekara,それから,and then
ee,ええ,that is correct right
no-to,ノート,notebook note
botan,ボタン,button
depa-to,デパート,department store
toire,トイレ,toilet restroom bathroom
soredeha,それでは,then
fo-ku,フォーク,fork
dore,どれ,which
hatachi,二十歳,twenty 20 years old
achira,あちら,that way
deha,では,then
firumu,フィルム,film
karenda-,カレンダー,calendar
yokka,四日,fourth day of the month four days
nanoka,七日,seventh day of the month seven days
soushite,そうして,and like that
guramu,グラム,gram
kiroguramu,キログラム,kilogram
suguni,すぐに,immediately right away
hitotsuki,一月,one month
ano,あの,say well um
macchi,マッチ,match contest
kare-,カレー,curry
san,三,three 3
rajikase,ラジカセ,radio cassette player
nani,何,what
dare,誰,who
taberu,食べる,to eat
nihon,日本,japan
iku,行く,to go
kuru,来る,to come arrive
kyou,今日,today
ashita,明日,tomorrow
kinou,昨日,yesterday
miru,見る,to see look
suki,好き,to like
shiro,白,white
kuro,黒,black
hontou,本当,truth really
ima,今,now
hanasu,話す,to talk speak
nen,年(nen),year
gatsu,月 (time),month
en,円,yen
mizu,水,water
onna,女,woman female
otoko,男,man male
tadashii,正しい,correct right
hito,人,person someeone
kome,米,rice
inu,犬,dog
osake,お酒,alcohol sake
shiru,知る,to know
mainichi,毎日,every day
maiban,毎晩,every night
neru,寝る,to sleep
ocha,お茶,tea
fun,分,minute
boku,僕,i me
watashi,私,i me
sakana,魚,fish
niku,肉,meat
yasai,野菜,vegetable
kareshi,彼氏,boyfriend
kanojo,彼女,girlfriend
takai,高い,high tall
gohan,ご飯,meal cooked rice
nomu,飲む,to drink
tanoshii,楽しい,fun
kanashii,悲しい,sad
ureshii,嬉しい,happy glad
gyuuniku,牛肉,beef
toriniku,鶏肉,chicken
butaniku,豚肉,pork
ookii,大きい,big large
chiisai,小さい,small little
hitoride,一人で,alone by yourself
tomodachi,友達,friend
te,手,hand
ashi,足,leg foot
kuchi,口,mouth
shuumatsu,週末,weekend
eiga,映画,movie film
ongaku,音楽,music
zasshi,雑誌,magazine journal
asa,朝,morning
ban,晩,night evening
hiru,昼,noon midday
gakkou,学校,school
ie,家,house
konban,今晩,this night tonight
doyoubi,土曜日,saturday
nichiyoubi,日曜日,sunday
yomu,読む,to read
okiru,起きる,to get up
benkyou,勉強,study
hayai,早い,early fast quick
zenzen,全然,not at all
tokidoki,時々,sometimes
kyouto,京都,kyoto
kaiwa,会話,conversation
toki ji,時,time
sentaku,洗濯,laundry
souji,掃除,cleaning
kawaii,可愛い,cute adorable
kanryo,完了,complete completion
denwa,電話,phone call
getsuyoubi,月曜日,monday
kayoubi,火曜日,tuesday
suiyoubi,水曜日,wednesday
mokuyoubi,木曜日,thursday
kinyoubi,金曜日,friday
oishii,美味しい,delicious tasty
sushi,寿司,sushi
kanji,漢字,kanji
yoru,夜,night evening
kimi,君,you
daijoubu,大丈夫,okay
kantan,簡単,easy simple
muzukashii,難しい,hard difficult
shin,新,new
atarashii,新しい,new
amai,甘い,sweet sugary
jibun,自分,oneself self
shashin,写真,picture photograph photo
shiawase,幸せ,happiness happy
ban,番,number
kaimono,買い物,shopping
miyage,土産,souvenir
kodomo,子供,child
tsukue,机,desk
tegami,手紙,letter
neko,猫,cat
tera,寺,temple
kouen,公園,park
basutei,バス停,bus stop
byouin,病院,hospital clinic
honya,本屋,bookstore
machi,町,town city
jikan,時間,hours hour time
au,会う,to meet
kau,買う,to buy
kaku,書く,to write
toru,撮る,to take a photo or video
matsu,待つ,to wait
migi,右,right
hidari,左,left
mae,前,before in front of
ushiro,後ろ,behind back
naka chu,中,in inside
ue,上(ue),on above up
shita,下,under below bottom
chikaku,近く,near close by
tonari,隣,beside next to
aida,間(aida),between
tenki,天気,weather
ato,後,after later
sodatsu,育つ,to grow
soto,外,outside
senshuu,先週,last week
konshuu,今週,this week
raishuu,来週,next week
saraishuu,再来週,week after next
kyonen,去年,last year
kotoshi,今年,this year
tabemono,食べ物,food
umi,海,sea ocean
kippu,切符,ticket
shukudai,宿題,homework assignment
tanjoubi,誕生日,birthday
nomimono,飲み物,drink beverage
hikouki,飛行機,airplane plane
heya,部屋,room
yasumi,休み,vacation break
ryokou,旅行,trip travel
atsui,暑い,hot warm
atsui,熱い,hot
isogashii,忙しい,busy
omoshiroi,面白い,funny interesting
kowai,怖い,scary frightening
samui,寒い,cold
furui,古い,old aged
yasui,安い,cheap inexpensive
kirai,嫌い,hate dislike
genki,元気,healthy lively
shizuka,静か,quiet silent
daikirai,大嫌い,hate
daisuki,大好き,love
hima,暇,free
oyogu,泳ぐ,to swim
kiku,聞く,to listen hear
noru,乗る,to get on to board
dekakeru,出かける,to go out
issho,一緒,together at the same time
mai,枚,counter for thin
kirei,綺麗,pretty beautiful
okane,お金,money metal
furo,風呂,bath bathtub
kyoukasho,教科書,textbook
shimin,市民,citizen civilian
tsugi,次,next
denki,電気,electricity
densha,電車,train
nimotsu,荷物,baggage luggage package
mado,窓,window
taihen,大変,difficult hard
asobu,遊ぶ,to play
isogu,急ぐ,to hurry rush
hairu,入る,to enter go into
kaesu,返す,to return
kesu,消す,to turn off delete
shinu,死ぬ,to die
suwaru,座る,to sit
tatsu,立つ,to stand
suu,吸う,to smoke inhale
tsukau,使う,to use
tetsudau,手伝う,to help
motsu,持つ,to hold take
yasumu,休む,to rest
akeru,開ける,to open
oshieru,教える,to teach
oriru,降りる,to get off go down
kariru,借りる,to borrow rent
shimeru,閉める,to close shut
abiru,浴びる,to shower bathe
wasureru,忘れる,to forget
tsuretekuru,連れてくる,to bring
mottekuru,持ってくる,to bring
osoku,遅く,late
kekkou,結構,okay quite
michi,道,road path street
gawa,側,side
kita,北,north
higashi,東,east
nishi,西,west
minami,南,south
wataru,渡る,to cross
ane,姉,big older sister
imouto,妹,little younger sister
uta,歌,song
otouto,弟,little younger brother
oniisan,お兄さん,older big brother
oneesan,お姉さん,older big sister
kaisha,会社,company corporation
kazoku,家族,family
kami,髪,hair
kyoudai,兄弟,brothers and sisters
kuni,国,country
kuruma,車,car
shokudou,食堂,dining room eatery
chichi,父,father dad
haha,母,mother mom
me,目,eye eyeball
megane,眼鏡,glasses
atamagaii,頭がいい,smart
segatakai,背が高い,tall
segahikui,背が低い,short
nagai,長い,long
hayai,速い,fast
mijikai,短い,short
shinsetsu,親切,kind nice gentle
benri,便利,convenient
sumu,住む,to live
futoru,太る,to gain weight
kiru,着る,to wear
tsutomeru,勤める,to work for
kekkon,結婚,marriage
futari,二人,two people pair
betsuni,別に,not really
koukou,高校,high school
hikui,低い,low short
sensei,先生,teacher instructor
hana,鼻,nose
yubi,指,finger
ha,歯,tooth teeth
mimi,耳,ear
kubi,首,neck
atama,頭,head
senaka,背中,back
kao,顔,face
kata,肩,shoulder
mune,胸,chest
ame,雨,rain
kaishain,会社員,company worker
kuuki,空気,air
kesa,今朝,this morning
kokuban,黒板,black board blackboard
shigoto,仕事,work job
daigakusei,大学生,college student
tenkiyohou,天気予報,weather forecast
tokoro,所,place spot
natsu,夏,summer
fuyu,冬,winter
jouzu,上手,skillful skilled good at
heta,下手,clumsy unskillful poor at
yuumei,有名,famous
ame,雨,rain
arau,洗う,to wash
iu,言う,to say
osokunaru,遅くなる,to be late
omou,思う,to think consider
kiru,切る,to cut
tsukuru,作る,to make
motteiku,持っていく,to bring
suteru,捨てる,to throw away
hajime,始め,beginning start
hajimeru,始める,to begin start
unten,運転,driving drive
ryouri,料理,cooking
kanpai,乾杯,cheers toast
zannen,残念,too bad disappointing
saikou,最高,the best most
toukyou,東京,tokyo
osaka,大阪,osaka
don,丼,bowl
gyouza,餃子,dumpling
iro,色,color
obentou,お弁当,obento bento box lunch
kabuki,歌舞伎,kabuki
kusuri,薬,medicine
kondo,今度,near future next time
sakubun,作文,essay writing
shiken,試験,test exam
tango,単語,word vocabularly
byouki,病気,sickness illness disease
ao,青,blue
aka,赤,red
sabishii samishii,寂しい,lonely
wakai,若い,young youthful
ijiwaru,意地悪,mean
odoru,踊る,to dance
owaru,終わる,to end finish
hajimaru,始まる,to start begin
hiku,弾く,to play a instrument
oboeru,覚える,to memorize learn
undou,運動,exercise workout
sanpo,散歩,stroll walk
zehi,是非,definitely certainly
kiiro,黄色,yellow
chairo,茶色,brown
midori,緑,green
haiiro,灰色,gray
gin,銀,silver
murasaki,紫,purple
mizuiro,水色,light blue
kiniro,金色,gold
mise,店,shop store
ai,愛,love
hoshii,欲しい,want
aki,秋,fall autumn
isha,医者,doctor
eki,駅,station
okanemochi,お金持ち,rich person
kisetsu,季節,season
gyuunyuu,牛乳,milk
shinkansen,新幹線,shinkansen bullet train
seikatsu,生活,life living
ikiru,生きる,to live
sekai,世界,the world
chikatetsu,地下鉄,subway
tebukuro,手袋,glove gloves
tenpura,天ぷら,tenpura tempura
haru,春,spring
bin,便,flight
fune,船,boat ship
yoyaku,予約,reservation appointment booking
gakki,学期,semester school term
atatakai,暖かい,warm
osoi,遅い,late slow
suzushii,涼しい,cool refreshing
tsumetai,冷たい,cold to touch
nemui,眠い,sleepy
tomaru,泊まる,to stay at
harau,払う,to pay
kimeru,決める,to decide
renshuu,練習,practice
aruku,歩く,to walk
mori,森,forest
tabun,多分,probably perhaps
onegai,お願い,please
mondai,問題,problem question
hisashiburi,久しぶり,long time no see
gozen,午前,am morning
gogo,午後,pm afternoon
jikoku,時刻,time
tokuni,特に,in particular
subarashii,素晴らしい,great wonderful
okashi,お菓子,sweets candy
oshougatsu,お正月,new years
matsuri,祭り,festival
onsen,温泉,onsen hot spring
gaikoku,外国,foreign country
kashu,歌手,singer
kawa,川,river
shachou,社長,ceo of company
jugyou,授業,class lesson
shourai,将来,future
jinja,神社,shrine
bijutsukan,美術館,museum
mizuumi,湖,lake
yama,山,mountain
yume,夢,dream
kau,飼う,to own a pet or animal
toru,取る,to take
narau,習う,to learn study
noboru,登る,to climb
hataraku,働く,to work
tsukareru,疲れる,to get tired
shoukai,紹介,introduction
chikoku,遅刻,late
ryuugaku,留学,study abroad
shusshin,出身,birthplace
ten,点,points dot
genzai,現在,present now
kankoku,韓国,korea
chuugoku,中国,china
onaji,同じ,same identical
ochitsuite,落ち着いて,calm down
honjitsu,本日,today formally
hokani,他に,other
imi,意味,meaning
otearai,お手洗い,bathroom toilet restroom
kaze,風邪,cold flu
kion,気温,temperature
kumori,曇り,cloudy
shiai,試合,game match
seiji,政治,politics
seiseki,成績,grade
hana,花,flower
hare,晴れ,sunny
futsukayoi,二日酔い,hungover hangover
yuki,雪,snow
youji,用事,errands tasks
itai,痛い,painful pain hurts
ooi,多い,many a lot
semai,狭い,narrow
tsugou,都合,circumstances
warui,悪い,bad
suteki,素敵,nice lovely
kazewohiku,風邪をひく,to catch cold
kyoumi,興味,interest curiosity
netsu,熱,heat fever
nodogakawaku,のどが渇く,thirsty
seki,咳,cough
wakareru,別れる,to break up
kinchou,緊張,nervousness
odaijini,お大事に,get well soon
ondo,温度,temperature
hajimete,初めて,for the first time
nokori,残り,leftovers left overs
atosukoshi,あと少し,a bit more
josei,女性,female woman
dansei,男性,male man
damaru,黙る,to shutup
tamago,卵(玉子),egg eggs
mattaku,全く,truly entirely
fuku,服,clothes
hitsuyou,必要,need necessary
wakaru,分かる,to understand
yasashii,優しい,kind gentle
yasashii,易しい,easy
fukuro,袋,bag bags
kieru,消える,to disappear vanish
shikata,仕方,way method
atarimae,当たり前,of course
sonotoori,その通り,thats right exactly
muri,無理,impossible
kuraberu,比べる,to compare
denshirenji,電子レンジ,microwave
setsumei,説明,explanation
rikai,理解,understanding
houhou,方法,method means
okuru,送る,to send ship
kashikoi,賢い,smart clever
kashi,歌詞,lyrics
shitsurei,失礼,excuse me rude
koe,声,voice
kanpeki,完璧,perfect
douga,動画,video
hou,方(hou),direction way
kako,過去,past
tashika,確か,certain certainly positive
ko,個,counter
ganbaru,頑張る,do your best
otaku,お宅,house home
otona,大人,adult
gakki,楽器,instrument
karate,空手,karate
kimono,着物,kimono
koukoku,広告,advertisement advertising
koucha,紅茶,black tea
kotoba,言葉,word words
zou,象,elephant
bukka,物価,price
bunpou,文法,grammar
bengoshi,弁護士,lawyer
boshuu,募集,recruiting recruitment
yakusoku,約束,promise agreement
karai,辛い(karai),spicy hot
kibishii,厳しい,strict severe
chikai,近い,close near
amu,編む,to knit
kasu,貸す,to rent loan
naku,泣く,to cry
migaku,磨く,to brush polish shine
kandou,感動,deeply moved
kai,回,times
jitsuha,実は,actually
zenbu,全部,all entire whole
tomoushimasu,と申します,introduction
hikidashi,引き出し,drawer withdrawal
ani,兄,bro
ooyasan,大家さん,landlord landlady
okusan,奥さん,wife
goshujin,ご主人,husband
sara,皿,plate dish
fuufu,夫婦,married couple husband and wife
manga,漫画,manga
mina,皆,everyone everybody all
minasan,皆さん,everyone everybody all
yubiwa,指輪,ring
ryoushin,両親,parents
rirekisho,履歴書,resume
niau,似合う,to look good
soudan,相談,consult consultation
satsu,冊,counter for books
dai,台,counter for vehicles
hiki,匹,counter for animals
hon,本,book volume
natsukashii,懐かしい,nostalgic
mazeru,混ぜる,to mix stir blend
seikai,正解,correct
tekitou,適当,suitable appropriate
reizouko,冷蔵庫,fridge refrigerator
e,絵,painting drawing
eigakan,映画館,movie theater cinema
gaikokujin,外国人,foreigner
kagu,家具,furniture
keiken,経験,experience
kekkonshiki,結婚式,wedding
jishin,地震,earthquake
shimekiri,締め切り,deadline cut off
shuukan,習慣,custom
zeikin,税金,tax duty
sotsugyou,卒業,graduation completion
chizu,地図,map
denchi,電池,battery cell
niwa,庭,garden
happyou,発表,presentation
bangumi,番組,tv broadcast program
hoken,保険,insurance
yotei,予定,plan schedule
ryokan,旅館,ryokan traditional inn
waribikiken,割引券,coupon
hiroi,広い,wide spacious
uru,売る,to sell
orosu,下ろす,to put down
egaku,描く,to draw paint
sagasu,探す,to look for
sasou,誘う,to invite
tsukiau,付き合う,to date
tsuku,着く,to arrive
shiraberu,調べる,to look into
kankou,観光,sightseeing tourism
ichinichi,一日,one day
ichinichijuu,一日中,all day long
saikin,最近,recently lately
ichigo,苺,strawberry
tokei,時計,watch clock
mayou,迷う,to get lost
nioi,匂い,smell odor
shio,塩,salt
koshou,胡椒,pepper
satou,砂糖,sugar
kenkou,健康,health
kanousei,可能性,possibility
tatoeba,例えば,for example
ookisa,大きさ,size
oya,親,parent parents
kimatsushiken,期末試験,final exam
kenkyuu,研究,research
shougakukin,奨学金,scholarship stipend
shinseki,親戚,relative
suisenjou,推薦状,letter of rec
daigakuin,大学院,gradudate school
taifuu,台風,typhoon hurricane
mezamashidokei,目覚まし時計,alarm
kitanai,汚い,dirty
ochikomu,落ち込む,to feel down
komaru,困る,to be troubled
dasu,出す,to take out
naosu,直す,to fix
mukaeru,迎える,to welcome
yakusu,訳す,to translate
warau,笑う,to laugh smile
atsumeru,集める,to collect gather
ireru,入れる,to put in
noriokureru,乗り遅れる,to miss a train bus
asanebou,朝寝坊,oversleeping
annai,案内,guidance
kyoujuuni,今日中に,by the end of the day
okyakusan,お客さん,guest customer
oyu,お湯,hot water
kaji,火事,fire
kami,紙,paper
kyuuryou,給料,salary
saitei,最低,worst
zangyou,残業,overtime
shushou,首相,president
takarakuji,宝くじ,lottery
doubutsuen,動物園,zoo
himitsu,秘密,secret
ryou,寮,dorm dormitory
ryokougaisha,旅行会社,travel agency
abunai,危ない,dangerous
sukunai,少ない,little few
tsuyoi,強い,strong
erabu,選ぶ,to choose
komu,混む,to get crowded
nugu,脱ぐ,to take off
umareru,生まれる,to be born
tariru,足りる,to be sufficient enough
nareru,慣れる,to get used to
oinorisuru,お祈りする,to pray
keshou,化粧,makeup cosmetics
shuushoku,就職,to get employed
rikon,離婚,divorce
utsukushii,美しい,beautiful
umeshu,梅酒,umeshu plum wine
koori,氷,ice
hannou,反応,reaction
yasan,屋さん,shop
shouyu,醤油,soy sauce
nikki,日記,diary
mushi,虫,insect bug
yachin,家賃,rent
yuugata,夕方,evening
akarui,明るい,bright light
kibungawarui,気分が悪い,sick
kurai,暗い,dark
hazukashii,恥ずかしい,embarassing
hiraku aku,開く,to open
ayamaru,謝る,to apologize
osu,押す,to push press
otosu,落とす,to drop
korobu,転ぶ,to fall
kowasu,壊す,to break
saku,咲く,to bloom blossom
shimaru,閉まる,to close
tasukaru,助かる,to be saved
tanomu,頼む,to ask
yogosu,汚す,to dirty
ochiru,落ちる,to fall down
katazukeru,片付ける,to clean
kangaeru,考える,to think consider
chuumon,注文,order
osakinishitsureishimasu,お先に失礼します,ill go first
otsukaresamadeshita,お疲れ様でした,good work
kabu,株,stock share
mukou,向こう,over there
aji,味,flavor taste
ikkatsude,一括で,all together
maki,巻き,maki roll
kaiten,回転,rotation spin
maguro,鮪,tuna
uni,雲丹,uni sea urchin
anago,穴子,japanese eel
unagi,鰻,eel
tai,鯛,red snapper
okusama,奥様,wife
orei,お礼,thanks gratitude
keigo,敬語,formal honorific
shucchou,出張,business trip
shorui,書類,document
seikaku,性格,personality character
chuugakusei,中学生,middle school student
namakemono,怠け者,lazy person
nayami,悩み,worry
hazukashigariya,恥ずかしがり屋,shy
hanashi,話,talk speech
buchou,部長,department manager
bunka,文化,culture
machigai,間違い,mistake
nakagaii,仲がいい,get along
okoru,怒る,to get angry mad
kimaru,決まる,to be decided
kudasaru,くださる,to be given
goranninaru,ご覧になる,honorably see
shiriau,知り合う,to get to know
hikkosu,引っ越す,to move
meshiagaru,召し上がる,honorably eat
yobu,呼ぶ,to call
yoru,寄る,to drop by
enryo,遠慮,hesitation
shoutai,招待,invitation
chuui,注意,attention warning
maiasa,毎朝,every morning
meisama,名様,number of guest
yokatta,良かった,im glad
tomaru,止まる,to stop
konran,混乱,confusion
uchuujin,宇宙人,alien
oto,音,sound noise
kakarinomono,係りの者,person in charge
kado,角(kado),corner edge
kuukou,空港,airport
ji,字,character
shiten,支店,office branch
shumi,趣味,hobby
shousetsu,小説,novel story
shingou,信号,traffic light
sensu,扇子,hand fan
tsuki,月(tsuki),moon month
jisho,辞書,dictionary
omoi,重い,heavy
karui,軽い,light
itasu,いたす,honorably do
itadaku,頂く,honorably receive
ukagau,伺う,honorably hear
mairu,まいる,to come
magaru,曲がる,to turn
mousu,申す,honorably say
modoru,戻る,to go back return
kikoeru,聞こえる,to be audible hear
sashiageru,差し上げる,honorably give
tsutaeru,伝える,to convey tell
koukan,交換,exchange
henpinsuru,返品する,to return
kai,階,floor story
shoushou,少々,a little bit
makotoni,誠に,very really
moushiwakearimasen,申し訳ありません,sorry
naisho,内緒,secret
akachan,赤ちゃん,baby infant
ka,蚊,mosquito
kaigi,会議,business meeting
kankyou,環境,environment circumstances
keisatsu,警察,police
koujou,工場,factory
koto,事,thing
shuuden,終電,last train
junbi,準備,preparation
seifu,政府,government 
douryou,同僚,colleague coworker
dorobou,泥棒,thief
hannin,犯人,criminal
mukashi,昔,old time times
monku,文句,complaint
rusu,留守,absence
tooi,遠い,far
hidoi,酷い,awful
anzen,安全,safe safety
taisetsu,大切,important
oku,置く,to put
kigatsuku,気が付く,to realize
sasu,刺す,to stab
sawaru,触る,to touch
tsukamaru,捕まる,to be caught
tsutsumu,包む,to wrap
naguru,殴る,to hit
nusumu,盗む,to steal
haru,貼る,to paste
fumu,踏む,to step on
yaku,焼く,to grill roast
kigaeru,着替える,to change
tsuzukeru,続ける,to continue
hirune,昼寝,nap
renraku,連絡,contact
sukoshi,少し,a little few
hime,姫,princess
ouji,王子,prince
kakeru,駆ける,to run
aite,相手,partner other party
uketsuke,受付,reception
ojousan,お嬢さん,daughter young lady
kaji,家事,housework chores
kaze,風,wind breeze
kamisama,神様,god
ki,木,tree
kouhai,後輩,junior
saru,猿,monkey
jiyuu,自由,freedom
juku,塾,cram school
senpai,先輩,senior
hitorigurashi,一人暮らし,live alone
buka,部下,subordinate
mudazukai,無駄遣い,waste of something
menkyo,免許,license
yoshuu,予習,preparation study
fukushuu,復習,review study
shinpai,心配,worry
binbou,貧乏,poor
hen,変,strange weird
raku,楽,easy
katsu,勝つ,to win
hakobu,運ぶ,to carry
hashiru,走る,to run
hirou,拾う,to pick up
houtteoku,放っておく,leave alone
maniau,間に合う,be in time
keikaku,計画,plan
sodateru,育てる,to raise
